card_id_max = 1267(all_card_data() から動的に計算)
読み込み開始: scale_data\policy_positions_scale_f0.25_s1.jsonl.gz
weight スキーム: concentrated
  5000 件処理済み(経過 2.1s、2436.4 rows/sec)
  10000 件処理済み(経過 4.0s、2474.4 rows/sec)
  15000 件処理済み(経過 6.0s、2510.4 rows/sec)
  20000 件処理済み(経過 7.9s、2532.0 rows/sec)
  25000 件処理済み(経過 9.8s、2538.7 rows/sec)
  30000 件処理済み(経過 11.8s、2538.0 rows/sec)
  35000 件処理済み(経過 13.8s、2534.4 rows/sec)
  40000 件処理済み(経過 15.7s、2545.3 rows/sec)
  45000 件処理済み(経過 17.7s、2544.8 rows/sec)
  50000 件処理済み(経過 19.6s、2546.2 rows/sec)
  55000 件処理済み(経過 21.6s、2550.8 rows/sec)
  60000 件処理済み(経過 23.5s、2549.5 rows/sec)
  65000 件処理済み(経過 25.6s、2542.8 rows/sec)
  70000 件処理済み(経過 27.6s、2540.7 rows/sec)
  75000 件処理済み(経過 29.5s、2539.0 rows/sec)
  80000 件処理済み(経過 31.5s、2538.2 rows/sec)
  85000 件処理済み(経過 33.5s、2539.3 rows/sec)
  90000 件処理済み(経過 35.6s、2526.4 rows/sec)
  95000 件処理済み(経過 37.6s、2526.8 rows/sec)
  100000 件処理済み(経過 39.5s、2530.7 rows/sec)
  105000 件処理済み(経過 41.4s、2534.9 rows/sec)
  110000 件処理済み(経過 43.4s、2534.0 rows/sec)
  115000 件処理済み(経過 45.4s、2532.6 rows/sec)
  120000 件処理済み(経過 47.4s、2531.1 rows/sec)
  125000 件処理済み(経過 49.4s、2530.4 rows/sec)
  130000 件処理済み(経過 51.4s、2530.6 rows/sec)
  135000 件処理済み(経過 53.3s、2531.8 rows/sec)
  140000 件処理済み(経過 55.3s、2533.5 rows/sec)
  145000 件処理済み(経過 57.4s、2524.3 rows/sec)
  150000 件処理済み(経過 59.4s、2524.7 rows/sec)
  155000 件処理済み(経過 61.4s、2523.1 rows/sec)
  160000 件処理済み(経過 63.4s、2525.2 rows/sec)
  165000 件処理済み(経過 65.4s、2524.8 rows/sec)
  170000 件処理済み(経過 67.3s、2524.5 rows/sec)
  175000 件処理済み(経過 69.3s、2523.6 rows/sec)
  180000 件処理済み(経過 71.3s、2524.1 rows/sec)
  185000 件処理済み(経過 73.3s、2522.4 rows/sec)
  190000 件処理済み(経過 75.3s、2522.6 rows/sec)
  195000 件処理済み(経過 77.3s、2522.4 rows/sec)
  200000 件処理済み(経過 79.3s、2523.4 rows/sec)
  205000 件処理済み(経過 81.5s、2515.6 rows/sec)
  210000 件処理済み(経過 83.4s、2516.8 rows/sec)
  215000 件処理済み(経過 85.3s、2519.1 rows/sec)
  220000 件処理済み(経過 87.3s、2519.0 rows/sec)
  225000 件処理済み(経過 89.3s、2519.1 rows/sec)
  230000 件処理済み(経過 91.3s、2518.9 rows/sec)
  235000 件処理済み(経過 93.3s、2518.9 rows/sec)
  240000 件処理済み(経過 95.3s、2518.8 rows/sec)
  245000 件処理済み(経過 97.2s、2519.5 rows/sec)
  250000 件処理済み(経過 99.2s、2519.3 rows/sec)
  255000 件処理済み(経過 101.2s、2520.7 rows/sec)
  260000 件処理済み(経過 103.2s、2520.1 rows/sec)
  265000 件処理済み(経過 105.5s、2512.0 rows/sec)
完了: 採用 268177 件(経過 106.8s)
state_features shape=(268177, 166) dtype=float32
split 内訳: train=160168 val=22791 test=85218
書き出し完了: scale_features\features_scale_f0.25_s1.npz (29.5 MB)
注意: option_features/option_card_ids は object 配列(ragged)。読み込みは np.load(path, allow_pickle=True) を使うこと。card_id_max はスカラー(data['card_id_max'].item() で取り出す)。
