card_id_max = 1267(all_card_data() から動的に計算)
読み込み開始: scale_data\policy_positions_scale_f0.5_s2.jsonl.gz
weight スキーム: concentrated
  5000 件処理済み(経過 2.1s、2426.8 rows/sec)
  10000 件処理済み(経過 4.1s、2466.5 rows/sec)
  15000 件処理済み(経過 6.1s、2476.2 rows/sec)
  20000 件処理済み(経過 8.0s、2487.7 rows/sec)
  25000 件処理済み(経過 10.0s、2503.8 rows/sec)
  30000 件処理済み(経過 12.0s、2490.0 rows/sec)
  35000 件処理済み(経過 14.0s、2504.8 rows/sec)
  40000 件処理済み(経過 16.0s、2503.4 rows/sec)
  45000 件処理済み(経過 18.0s、2504.6 rows/sec)
  50000 件処理済み(経過 20.0s、2498.6 rows/sec)
  55000 件処理済み(経過 22.0s、2500.0 rows/sec)
  60000 件処理済み(経過 24.0s、2499.7 rows/sec)
  65000 件処理済み(経過 26.0s、2499.4 rows/sec)
  70000 件処理済み(経過 28.0s、2500.4 rows/sec)
  75000 件処理済み(経過 30.0s、2497.9 rows/sec)
  80000 件処理済み(経過 32.1s、2490.4 rows/sec)
  85000 件処理済み(経過 34.2s、2487.7 rows/sec)
  90000 件処理済み(経過 36.2s、2483.1 rows/sec)
  95000 件処理済み(経過 38.3s、2480.8 rows/sec)
  100000 件処理済み(経過 40.3s、2479.4 rows/sec)
  105000 件処理済み(経過 42.3s、2482.3 rows/sec)
  110000 件処理済み(経過 44.3s、2480.3 rows/sec)
  115000 件処理済み(経過 46.4s、2477.8 rows/sec)
  120000 件処理済み(経過 48.5s、2474.2 rows/sec)
  125000 件処理済み(経過 50.5s、2472.8 rows/sec)
  130000 件処理済み(経過 52.6s、2471.3 rows/sec)
  135000 件処理済み(経過 54.6s、2471.4 rows/sec)
  140000 件処理済み(経過 56.6s、2473.9 rows/sec)
  145000 件処理済み(経過 58.8s、2467.0 rows/sec)
  150000 件処理済み(経過 60.8s、2468.2 rows/sec)
  155000 件処理済み(経過 62.8s、2468.5 rows/sec)
  160000 件処理済み(経過 64.8s、2468.9 rows/sec)
  165000 件処理済み(経過 66.8s、2470.7 rows/sec)
  170000 件処理済み(経過 68.8s、2470.2 rows/sec)
  175000 件処理済み(経過 70.8s、2470.6 rows/sec)
  180000 件処理済み(経過 72.8s、2471.2 rows/sec)
  185000 件処理済み(経過 74.9s、2471.4 rows/sec)
  190000 件処理済み(経過 76.9s、2471.4 rows/sec)
  195000 件処理済み(経過 79.0s、2469.1 rows/sec)
  200000 件処理済み(経過 80.9s、2471.5 rows/sec)
  205000 件処理済み(経過 83.2s、2463.6 rows/sec)
  210000 件処理済み(経過 85.2s、2464.7 rows/sec)
  215000 件処理済み(経過 87.2s、2464.9 rows/sec)
  220000 件処理済み(経過 89.2s、2466.9 rows/sec)
  225000 件処理済み(経過 91.2s、2466.6 rows/sec)
  230000 件処理済み(経過 93.2s、2468.2 rows/sec)
